X,Y,fid,UIDN,OIDN,CODSEC,NISCODE,SEC,SECNAAM,LENGTE,OPPERVL,STDEEL
172033.787405625,175191.645303289,"1","19880","4074",24062A61-,"24062",A61-,KAREELVELD,5896.98,1529378.12,LEUVEN NOORD
174701.490755163,179337.867484135,"2","20055","4078",24062B100,"24062",B100,PUTKAPEL-CENTRUM,5277.17,980502.76,WILSELE WIJGMAAL
172930.921222345,176422.98577838,"3","20056","4087",24062B34-,"24062",B34-,ROESELBERG,4205.81,643689.23,WILSELE WIJGMAAL
173089.694175798,177223.849313944,"4","20057","4088",24062B352,"24062",B352,KOKSIJDEWIJK,2724.5,185181.29,WILSELE WIJGMAAL
173339.832980342,177784.927856641,"5","20058","4090",24062B391,"24062",B391,LANGEVELD-VERSPREIDE BEWONING,8857.18,1369132.57,WILSELE WIJGMAAL
173132.857328997,178675.291028566,"6","20059","4091",24062B423,"24062",B423,WILSELE HOEK,2215.01,166452.07,WILSELE WIJGMAAL
172453.401625359,169890.140393283,"7","20060","4135","24062D390","24062",D390,HEVERLEEBOS,14457.02,4674154.96,HEVERLEE WEST
172000.483966838,172620.600195658,"8","20061","4136","24062D410","24062",D410,CAMPUS HEVERLEE,6588.37,1672303.78,HEVERLEE WEST
170366.750520817,171826.866426537,"9","20062","4139","24062D591","24062",D591,ROTSPOEL-VERSPREIDE BEWONING,13280.93,2586659.12,HEVERLEE WEST
170073.657977375,173482.584864491,"10","20006","4145","24062D691","24062",D691,ALSEMBERG,9222.26,1667850.94,HEVERLEE WEST
176120.838094708,177342.478613327,"11","20599","4118",24062C61-,"24062",C61-,KESSELBERG - LEMING,6597.48,1027326.23,KESSEL-LO NOORD
172145.975903619,171621.374599183,"12","20600","4125",24062D04-,"24062",D04-,HEVERLEE - WAVERSE BAAN,4821.24,1322015.66,HEVERLEE WEST
174386.202752761,173560.420725898,"13","20601","4127",24062D10-,"24062",D10-,SINT-ANTONIUS,1613.98,120958.85,HEVERLEE OOST
174247.04148896,173209.080124684,"14","20602","4129",24062D19-,"24062",D19-,HEVERLEE KERKHOF,2148.47,257082.9,HEVERLEE OOST
175608.531147621,179767.220691046,"15","4082","4082",24062B191,"24062",B191,PUTKAPEL-VERSPREIDE BEWONING,10791.94,1910676.11,WILSELE WIJGMAAL
173556.077329731,176526.376029169,"16","4084","4084",24062B300,"24062",B300,SINT-MARTINUS,2573.98,295779.59,WILSELE WIJGMAAL
173411.779714253,175938.737034911,"17","4085","4085",24062B32-,"24062",B32-,WILSELE OUD CENTRUM,2264.13,206066.87,WILSELE WIJGMAAL
173114.34292199,175797.884950177,"18","4086","4086",24062B33-,"24062",B33-,WILSELE MECHELSE POORT,2486.41,215118.26,WILSELE WIJGMAAL
173645.605041307,175766.16595805,"19","4089","4089",24062B37-,"24062",B37-,ZWAAIKOM,2466.92,178993.6,WILSELE WIJGMAAL
176313.038824553,173329.955665348,"20","4150","4150","24062E742","24062",E742,PREDIKHERENBRUG,4291.76,651432.93,KESSEL-LO ZUID
173437.976049335,172703.38255138,"21","4126","4126",24062D05-,"24062",D05-,MOLENBEEK,2092.63,216398.86,HEVERLEE OOST
173811.230049539,172954.403636908,"22","4131","4131",24062D21-,"24062",D21-,MATADI,2653.53,292628.52,HEVERLEE OOST
170470.042426205,172431.649695674,"23","4137","4137","24062D500","24062",D500,EGENHOVEN,2376.97,270370.88,HEVERLEE WEST
171174.12186721,173437.729942907,"24","4141","4141",24062D61-,"24062",D61-,TER ELST,1781.95,128474.29,HEVERLEE WEST
175258.079950718,173221.864629278,"25","4146","4146",24062E70-,"24062",E70-,IJZEREN BRUGJE,2285.18,158024.74,HEVERLEE OOST
175763.254797357,173088.780041813,"26","4148","4148",24062E72-,"24062",E72-,ZIEKELINGEN,1355.45,100292.97,HEVERLEE OOST
174820.917469633,175633.762154048,"27","4096","4096",24062C04-,"24062",C04-,VIJVERPARK,2420.46,326000.92,KESSEL-LO NOORD
174759.513493287,174602.354643939,"28","4097","4097",24062C05-,"24062",C05-,KESSEL-LO ACHTER CENTRALE,1949.77,133660.23,KESSEL-LO ZUID
174312.049044366,176015.460657828,"29","4098","4098",24062C0AJ,"24062",C0AJ,VORMINGSSTATION,5608.67,998236.31,KESSEL-LO NOORD
175768.123191378,175619.134053883,"30","4100","4100",24062C11-,"24062",C11-,VLIERBEEK,2669.58,350666.94,KESSEL-LO NOORD
175444.462615597,175267.416024852,"31","4101","4101",24062C12-,"24062",C12-,HEUVELHOF,2178.18,252282.1,KESSEL-LO NOORD
176380.040083506,175338.792627194,"32","4102","4102",24062C13-,"24062",C13-,PINKSTERMOLEN,5576.96,933648.25,KESSEL-LO NOORD
175950.555104304,173965.203060556,"33","4111","4111",24062C43-,"24062",C43-,TROLIEBERG,3873.17,732297.15,KESSEL-LO ZUID
175438.65300957,174395.393752511,"34","4112","4112",24062C44-,"24062",C44-,DON BOSCO,2584.41,373262.42,KESSEL-LO ZUID
175400.956575069,176734.628105516,"35","4113","4113",24062C50-,"24062",C50-,BENEDEN KESSEL,5612.56,817761.04,KESSEL-LO NOORD
174700.57176933,176675.035750489,"36","4114","4114",24062C51-,"24062",C51-,HET BROEK,3185.7,420653.83,KESSEL-LO NOORD
174772.760763741,173300.596251705,"37","4128","4128",24062D11-,"24062",D11-,H. HART,2600.43,266755.11,HEVERLEE OOST
174344.525065905,172347.903007178,"38","4130","4130","24062D209","24062",D209,HEVERLEE PARK,3976.31,444503.67,HEVERLEE OOST
173718.550353984,172311.007342368,"39","4132","4132",24062D22-,"24062",D22-,SAFFRANENBERG,3131.86,440288.77,HEVERLEE OOST
173751.843089978,171522.484615192,"40","4133","4133","24062D290","24062",D290,HEVERLEE KAZERNE,4559.49,1021485.19,HEVERLEE OOST
172910.431372169,171140.628861514,"41","4134","4134","24062D310","24062",D310,DE JACHT,3817.25,611536.76,HEVERLEE WEST
169989.854318301,172095.039846933,"42","4138","4138","24062D512","24062",D512,BOOLEEG,3875.31,471147.44,HEVERLEE WEST
173464.152058395,174986.417956649,"43","4050","4050",24062A15-,"24062",A15-,KARDINAALSTRAAT,1360.1,107317.55,LEUVEN NOORD
174432.839065693,174574.776602028,"44","4051","4051",24062A17-,"24062",A17-,LEUVEN STATION,1805.98,99160.79,LEUVEN CENTRUM
173897.092713538,174485.773331415,"45","4052","4052",24062A20-,"24062",A20-,BONDGENOTENLAAN,2108.8,67718.54,LEUVEN CENTRUM
173758.074778092,174310.198868907,"46","4055","4055",24062A23-,"24062",A23-,LADEUZE,1389.19,76324.47,LEUVEN CENTRUM
173926.434344896,173975.056840763,"47","4056","4056",24062A30-,"24062",A30-,TIENSESTRAAT,1898.13,52237.86,LEUVEN ZUID
174197.44392642,174121.446550079,"48","4058","4058",24062A32-,"24062",A32-,KLEINE GEVANGENIS,2089.56,226972.58,LEUVEN ZUID
174040.134241438,173697.76347152,"49","4059","4059",24062A33-,"24062",A33-,BRABANCONNESTRAAT,1460.44,82740.52,LEUVEN ZUID
173783.159710166,173821.16615397,"50","4061","4061",24062A35-,"24062",A35-,VESALIUS,1817.73,115569.62,LEUVEN ZUID
173606.877137417,173688.955303718,"51","4062","4062",24062A36-,"24062",A36-,VAN EVEN,1534.78,100027.65,LEUVEN ZUID
173293.548409683,173777.590617016,"52","4064","4064",24062A41-,"24062",A41-,LEUVEN NAAMSESTRAAT-NOORD,1403.17,75478.69,LEUVEN ZUID
173560.836915345,173360.650819445,"53","4065","4065",24062A42-,"24062",A42-,LEUVEN NIEUW KWARTIER,2266.56,245299.78,LEUVEN ZUID
174904.362739853,174782.945835148,"54","4093","4093",24062C01-,"24062",C01-,CENTRALE WERKPLAATSEN,1185.87,85848.44,KESSEL-LO ZUID
175156.667313264,171182.696989322,"55","4151","4151","24062E774","24062",E774,HAASRODE INDUSTRIEZONE,7742.96,2371358.09,HEVERLEE OOST
175187.025450134,172380.448076152,"56","4152","4152","24062E790","24062",E790,DEN DUIVEL,6088.92,1134408.28,HEVERLEE OOST
172872.48869286,173704.76211109,"57","4067","4067",24062A44-,"24062",A44-,REDINGEN,1773.13,163351.99,LEUVEN ZUID
172500.589236141,174864.430643839,"58","4072","4072",24062A54-,"24062",A54-,NOORMANNEN,1722,178034.86,LEUVEN NOORD
172885.447877879,175295.005315505,"59","4073","4073",24062A55-,"24062",A55-,KEIZERSBERG,2454.03,253308.79,LEUVEN NOORD
174183.511431278,177772.901375094,"60","4075","4075",24062B00-,"24062",B00-,WILSELE-CENTRUM,2779.99,336211.93,WILSELE WIJGMAAL
173818.789817368,177710.805641805,"61","4076","4076",24062B08-,"24062",B08-,VAARTDIJK,4953.73,311626.57,WILSELE WIJGMAAL
173930.940036231,178498.643338433,"62","4077","4077",24062B091,"24062",B091,PUTHOF,5173.66,526548.56,WILSELE WIJGMAAL
175490.351541539,180405.809284618,"63","4080","4080",24062B122,"24062",B122,KWADE HOEK,3891.04,640997.81,WILSELE WIJGMAAL
174144.343126778,178940.478360174,"64","4081","4081",24062B132,"24062",B132,DRAAK,2824.43,266850.37,WILSELE WIJGMAAL
176032.062042452,174730.283701629,"65","4103","4103",24062C14-,"24062",C14-,RERUM NOVARUM,2444.92,197999.39,KESSEL-LO ZUID
177574.424303067,174945.095798113,"66","4105","4105",24062C2PA,"24062",C2PA,LOBERGEN,3322.87,508163.07,KESSEL-LO ZUID
176759.289134082,174504.06699339,"67","4106","4106",24062C32-,"24062",C32-,BENEDEN-LO,3933.32,787854.15,KESSEL-LO ZUID
177224.600980556,174050.189232724,"68","4107","4107",24062C39-,"24062",C39-,BOVEN-LO,4895.45,1017385.6,KESSEL-LO ZUID
174949.459853821,174020.887706616,"69","4109","4109",24062C41-,"24062",C41-,BELLE VUE,3326.5,547724.68,KESSEL-LO ZUID
172660.582542177,174390.639108017,"70","4068","4068",24062A50-,"24062",A50-,SINT-JACOBS,1251.92,86854.73,LEUVEN NOORD
172896.000532824,174769.856050275,"71","4069","4069",24062A51-,"24062",A51-,BRUUL,1783.51,163934.43,LEUVEN NOORD
172548.616238293,173994.439021347,"72","4070","4070",24062A52-,"24062",A52-,BANKSTRAAT,2608.85,258679.87,LEUVEN NOORD
172324.33827948,174469.320369358,"73","4071","4071",24062A53-,"24062",A53-,MANNENSTRAAT,1821.67,213902.96,LEUVEN NOORD
174066.408418982,179539.059549537,"74","4079","4079",24062B11-,"24062",B11-,NIEUWE STEENWEG,3399.59,325894.89,WILSELE WIJGMAAL
