X,Y,fid,X,Y,nr,naam punt,Deelgemeente,openbaar vervoer,AWV,OD of andere,Herkoms,Interregionaal,Tijdstip lancering eHUB,realistische timing,publieke fietsenstalling,publieke parking,Pakjesautomaat,Blue Bike,aantal deelwagens,aantal laadpalen,aantal e-deelwagens,type zuil,aantal deelwagens (Uitbr 2020),aantal e-deelwagens (uitbr 2020),aantal laadpalen (dossier 2020 - voorzien voor Q1 2021),aantal deelwagens (scenario2),aantal e-deelwagens (scenario2),e-deelfietsen Sept (30),e-deelfietsen Maart (35),e-deelfietsen Mei (40),e-deelfietsen Toekomst? (60),aantal deelfietsen,aantal e-deelfietsen (indien max 92 0),aantal e-deelfietsen (indien max 125),aantal e-deelfietsen (indien max 125) scenario 26 locaties,aantal e-deelfietsen (indien max 125) scenario 31 locaties,aantal e-deelbakfietsen,aantal pakjesautomaten,# fietsbeugels te voorzien,aantal e-hubs,EV capaciteit,stadsgezicht
172870.279780043,172704.019879624,"1",4.6936177,50.8642674,"1",Bibliotheek Heverlee,HEV,"1",,,S,L,sep/20,sep/20,"1","1",,,"4","1","1",medium,"4","1","2","3","2",,,,,"0",,,,,"0",K,,"1","1","0"
174602.354959454,175023.817062113,"2",4.7183764,50.88505,"2",De Becker-Remyplein,KLO,"1",,,S,L,sep/20,sep/20,"1","1",,,"6","2","1",medium,"6","1","2","5","2",,,,,"0",,,,,"1",,"1","1","1","0"
173555.36427179,174618.129152291,"3",4.7034718,50.8814466,"3",De Bib Leuven - Sporthal Rijschool,LEU,"1",,,S,L,sep/20,sep/20,"1","0",,,"0",,"0",medium,"0","0",,"0","0",,,,,"0",,"4",,,"1",,"1","0","0","0"
175406.746499408,175651.838359834,"4",4.7298509,50.8906608,"4",Gemeenteplein,KLO,"1",,,SB,L,sep/20,sep/20,,,,,"1","1","0",mini,"2","0","1","1","1","6","3","3","4","0","5","5","5","4","1",K,"5","0","0","0"
173234.650174368,173168.65467396,"5",4.6988228,50.8684297,"5",Naamsepoort,HEV,"1",ja,,S,L,sep/20,sep/20,,,,,"3","3","3",medium,"3",,"3","3","3",,,,,"0",,,,,"0",G,,"1","3","1"
173915.351095866,173255.118718759,"6",4.7084983,50.8691793,"6",Parkpoort,HEV,"1",ja,,SB,L,sep/20,sep/20,,,,,"1","2","0",medium,"1","2","1","1","1","6","2","2","2","0","5","5","5","5","1",,"5","0","0","1"
174243.216986118,173316.391799662,"7",4.71316,50.8697165,"7",Philipssite,HEV,"1",ja,,S,R,sep/20,sep/20,,,"1",,"1",,"0",mini,"2","0","3","2","0",,,,,"12",,,,,"0",,,"0","0","0"
173486.471536241,174376.632596735,"8",4.7024774,50.8792785,"8",Rector De Somerplein,LEU,"1",,,S,R,sep/20,sep/20,,,,,"0",,"0",geen,"0","0",,"0","0","6","5","3","4","0","5","5","5","5","1",,"5","0","0","0"
173690.957716086,174727.47233071,"9",4.7054056,50.882424,"9",Sint-Maartensdal,LEU,"0",,,S,B,sep/20,sep/20,,,,,"2","1","0",medium,"2","1","2","2","1",,,,,"0",,"4",,"4","1",K,"1","0","0","0"
172978.831425708,172523.071806414,"10",4.6951483,50.8626365,"10",Station Heverlee,HEV,"1",ja,NMBS,S,R,sep/20,sep/20,,"1",,,"5","1","0",D,"5","0","1","5","0","6","4","2","4","12","5","5","5","5","1",,"5","1","0","0"
173373.596665891,175129.307282775,"11",4.7009215,50.8860491,"11",Vaartstraat,LEU,"1",,,S,L,sep/20,sep/20,,,,,"0",,"0",mini,"0","0","1","0","0",,,,,"0",,,,,"1",,"1","0","0","0"
173385.834874695,175284.334963666,"12",4.7011053,50.8874422,"12",Victor Broosplein,LEU,"1",,,S,L,sep/20,sep/20,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,,,,"1",,"1","0","0","0"
173271.896473291,176054.106811662,"13",4.6995349,50.8943665,"13",Wilsele dorp,WIL,"1",,,SB,L,sep/20,sep/20,,,,,"1","1","1",medium,"1","1","1","1","1","6","2","2","2","0","5","5","5","4","1",K,"5","1","1","0"
170473.14783909,172394.528777775,"14",4.6595503,50.8615748,"14",Egenhoven centrum,HEV,"1",ja,,SB,L,mrt/21,mrt/21,,,,,"0",,"0",mini,"0","0","1","0","0",,"4","2","2","0","4","4","4","4","1",K,"5","0","0","0"
171808.101828122,174353.958161382,"15",4.678628,50.8791402,"15",Gasthuisberg Het Teken,LEU,"1",,KUL,S,R,mrt/21,mrt/21,,"1",,,"0",,"0",mini,"0","0",,"0","0",,"6","3","4","0","5","5","5","5","0",,,"0","0","0"
174676.595573531,171178.242402893,"16",4.719173,50.8504776,"16",Researchpark Haasrode I,HEV,"1",,,S,R,mrt/21,mrt/21,,,,,"0",,"0",mini,"0","0",,"0","0",,"4","3","4","0","4","4","5","4","0",,"5","0","0",
174553.458173507,174719.837188451,"17",4.7176612,50.8823195,"17",Station Leuven - Kessel-Lo,KLO,"1",,NMBS,S,I,mrt/21,mrt/21,,,"0,5","38","14",,"0",,"14","0",,"14","0",,"5","4","6","0","5","5","5","5","0",,"5","1","0","0"
172164.143760223,174107.187946084,"18",4.6836721,50.8769084,"18",Tervuursepoort,LEU,"1",ja,,S,R,mrt/21,mrt/21,,,,,"5","2","1",mini,"5","2","2","5","2",,,,,"0",,"4",,,"0",G,,"0","0","0"
173170.255175648,174997.944937948,"19",4.6980235,50.8848764,"19",Klein Begijnhof,LEU,"1",,,S,L,mei/21,mei/21,,,,,"5","1","1",mini,"5","1","1","5","1",,,,,"0",,,,,"1",,"1","0","0","0"
177314.833214254,174019.820249585,"20",4.756848,50.8759034,"20",Bovenlo,KLO,"1",,,B,L,mei/21,mei/21,,,,,"0",,"0",mini,"0","0",,"0","0",,,"1","2","0","1","1","2","1","1",K,"5","0","0","0"
172865.885995411,174823.217899277,"21",4.6936873,50.8833178,"21",Bruulpark,LEU,"1",,,S,L,mei/21,mei/21,,,,,"2","1","0",mini,"2","0","2","1","1",,,,,"0",,,,,"1",K,"1","0","0","0"
174916.031553026,174792.8081209,"22",4.7228183,50.88296,"22",Centrale werkplaatsen (Hal 5),KLO,"1",,,S,L,mei/21,mei/21,,,,,"6","1","1",mini,"6","1","2","5","2",,,,,"0",,,,,"1",,"1","0","0","0"
176313.277675162,174160.478311813,"23",4.742628,50.8772141,"23",De Bron,KLO,"0",,,B,L,mei/21,mei/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,"2","2","0","2","2","2","2","1",K,"5",,,?
173607.667165297,172842.197573495,"24",4.7041008,50.86548,"24",Matadibuurt,HEV,"0",,,B,B,mei/21,mei/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,"2","2","0","2","2","2","2","1",K,"5","0","0",?
173702.724236382,173731.768554983,"25",4.7055085,50.8734728,"25",OCMW Leuven,LEU,"1",,"OCMW, KUL?",S,L,mei/21,mei/21,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,,,,"1",K,"1","0","0","0"
172853.964002032,174033.430352059,"26",4.6934687,50.8762186,"26",Refugehof,LEU,"1",,,B,L,mei/21,mei/21,,,,,,,"0",mini,"6","0",,"6","0",,,"2","2","0","2","2","2","2","1",K,"5","0","0","0"
172715.720678782,174375.587575675,"27",4.6915257,50.8792998,"27",Sint-Jacobsplein,LEU,"1",,,S,R,mrt/21,mei/21,,"1",,,"5","3","1",mini,"5","1","3","4","2",,,,,"0","5","5","5","4","1",,"5","1","1","1"
175154.177939283,173139.379411716,"28",4.7260891,50.8680865,"28",Spaanse Kroon,LEU,"1",,,SB,L,mei/21,mei/21,,,,,"1",,"0",mini,"2","0","1","2","0",,,"2","2","0","5","5","5","4","1",,"5","0","0","0"
173438.446598411,179216.581151935,"29",4.7021044,50.9227881,"29",Station Wijgmaal,WIJ,"1",,NMBS,SB,R,mei/21,mei/21,"1","1",,,"2","2","0",D,"2","0","2","1","1",,,"3","6","0","5","5","5","5","1",K,"5","1","2","0"
172616.550743618,173569.214244708,"30",4.6900669,50.8720549,"30",Bodartparking,HEV,"1",ja,,S,R,mrt/21,jun/21,,,"1",,"1","2","0",medium,"1","1","2","1","1",,,,,"0","4","4","5","4","0",,"3","0","0","0"
