fid,ZONENUMMER,STGB,STGB_L,NIS_GEM,NIS_GEM_L,VREGIO,VREGIO_L,leuven_statsec_fid,leuven_statsec_UIDN,leuven_statsec_OIDN,leuven_statsec_CODSEC,leuven_statsec_SEC,leuven_statsec_SECNAAM,leuven_statsec_LENGTE,leuven_statsec_OPPERVL,leuven_statsec_STDEEL
"1","1","4",BUITENGEBIED_2,"11001",11001 AARTSELAAR,"2",ANTWERPEN,,,,,,,,,
"2","2","5",BUITENGEBIED_3,"0",0 ANTWERPEN/SCHOTEN/ZWIJNDRECHT,"2",ANTWERPEN,,,,,,,,,
"3","3","4",BUITENGEBIED_2,"11002",11002 ANTWERPEN,"2",ANTWERPEN,,,,,,,,,
"4","4","5",BUITENGEBIED_3,"11002",11002 ANTWERPEN,"2",ANTWERPEN,,,,,,,,,
"5","5","5",BUITENGEBIED_3,"0",0 ANTWERPEN/BRASSCHAAT/BRECHT/ESSEN/...,"2",ANTWERPEN,,,,,,,,,
"6","6","3",BUITENGEBIED_1,"11004",11004 BOECHOUT,"2",ANTWERPEN,,,,,,,,,
"7","7","3",BUITENGEBIED_1,"11004",11004 BOECHOUT,"2",ANTWERPEN,,,,,,,,,
"8","8","3",BUITENGEBIED_1,"11005",11005 BOOM,"2",ANTWERPEN,,,,,,,,,
"9","9","4",BUITENGEBIED_2,"11007",11007 BORSBEEK,"2",ANTWERPEN,,,,,,,,,
"10","10","5",BUITENGEBIED_3,"0",0 BRECHT/SCHILDE/ZOERSEL/MALLE,"2",ANTWERPEN,,,,,,,,,
"11","11","4",BUITENGEBIED_2,"11013",11013 EDEGEM,"2",ANTWERPEN,,,,,,,,,
"12","12","4",BUITENGEBIED_2,"11018",11018 HEMIKSEM,"2",ANTWERPEN,,,,,,,,,
"13","13","3",BUITENGEBIED_1,"11021",11021 HOVE,"2",ANTWERPEN,,,,,,,,,
"14","14","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"15","15","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"16","16","3",BUITENGEBIED_1,"11024",11024 KONTICH,"2",ANTWERPEN,,,,,,,,,
"17","17","3",BUITENGEBIED_1,"11025",11025 LINT,"2",ANTWERPEN,,,,,,,,,
"18","18","4",BUITENGEBIED_2,"11029",11029 MORTSEL,"2",ANTWERPEN,,,,,,,,,
"19","19","3",BUITENGEBIED_1,"11030",11030 NIEL,"2",ANTWERPEN,,,,,,,,,
