,statsec_name,CODSEC,statsec_code,city_part,male_under18,male_18_65,male_65plus,male,female_under18,female_18_65,female_65plus,female,total_under18,total_18_65,total_65plus,active_population,employed,unemployed,inactive,rel_male_under18,rel_male_18_65,rel_male_65plus,rel_male,rel_female_under18,rel_female_18_65,rel_female_65plus,rel_female,rel_total_under18,rel_total_18_65,rel_total_65plus,rel_active_population,rel_employed,rel_unemployed,rel_inactive,total_citizens,outg_commuters,inc_commuters,companies,companies_rel,companies_per_100pop,unregistered_students_est,students_plus_citizens,students_per_inhabitant,hh_1pers,hh_2pers,hh_3pers,hh_4pers,hh_5pers,average_hh_size,total_hh,share_hh_with_car,average_nr_cars_hh,median_houseprice,median_income
0,Leuven-Centrum,24062A00-,A00,LEUVEN CENTRUM,50.0,419.0,22.0,491.0,38.0,321.0,26.0,385.0,88.0,740.0,48.0,460.0,433.0,27.0,416.0,0.06,0.48,0.03,0.57,0.04,0.37,0.03,0.44,0.1,0.85,0.06,0.53,0.49,0.03,0.47,876.0,123.0,1772.573384465301,1007.0,0.033874928516163756,114.95433789954336,1194.0,2070.0,0.576811594202899,408.0,117.0,26.0,29.0,7.0,1.4877910278250992,587.0,0.579,0.714,335413.0,17691.0
1,Lei - Vismarkt,24062A01-,A01,LEUVEN CENTRUM,19.0,359.0,54.0,432.0,26.0,303.0,74.0,403.0,45.0,662.0,128.0,432.0,400.0,32.0,403.0,0.02,0.43,0.06,0.51,0.03,0.36,0.09,0.48,0.05,0.79,0.15,0.52,0.48,0.04,0.48,835.0,173.0,1422.2833114676894,808.0,0.027180677498570324,96.76646706586827,1635.0,2470.0,0.6619433198380567,417.0,140.0,23.0,9.0,6.0,1.4056531703590527,595.0,0.579,0.714,310810.0,21695.0
2,Leuven Stadspark,24062A02-,A02,LEUVEN CENTRUM,7.0,116.0,24.0,147.0,8.0,77.0,57.0,142.0,15.0,193.0,81.0,87.0,86.0,1.0,202.0,0.02,0.4,0.08,0.5,0.03,0.27,0.2,0.5,0.05,0.67,0.28,0.3,0.3,0.0,0.7,289.0,44.0,561.5202677700407,319.0,0.010730985299559324,110.38062283737024,566.0,855.0,0.6619883040935672,136.0,38.0,6.0,0.0,0.0,1.2777777777777777,180.0,0.579,0.714,353725.0,23533.0
3,Damiaanplein,24062A03-,A03,LEUVEN ZUID,19.0,282.0,61.0,362.0,17.0,242.0,76.0,335.0,36.0,524.0,137.0,217.0,208.0,8.0,480.0,0.03,0.4,0.09,0.52,0.02,0.35,0.11,0.48,0.05,0.75,0.2,0.31,0.3,0.01,0.69,697.0,69.0,459.4256736300333,261.0,0.00877989706327581,37.44619799139168,1089.0,1786.0,0.6097424412094065,358.0,82.0,9.0,10.0,0.0,1.2832244008714597,459.0,0.612,0.811,346626.0,25133.0
4,LEUVEN KLINIEK -O.L.VROUW-KERK,24062A04-,A04,LEUVEN ZUID,7.0,90.0,16.0,113.0,6.0,93.0,11.0,110.0,13.0,183.0,27.0,112.0,107.0,5.0,110.0,0.03,0.41,0.07,0.51,0.03,0.42,0.05,0.5,0.06,0.83,0.12,0.5,0.48,0.02,0.5,222.0,48.0,346.76956975140445,197.0,0.006626972112894002,88.73873873873875,495.0,717.0,0.6903765690376569,143.0,21.0,7.0,0.0,0.0,1.2046783625730995,171.0,0.612,0.811,325522.0,21768.0
5,Leuven Mechelse straat,24062A05-,A05,LEUVEN NOORD,81.0,434.0,52.0,567.0,82.0,380.0,51.0,513.0,163.0,814.0,103.0,566.0,547.0,19.0,514.0,0.08,0.4,0.05,0.53,0.08,0.35,0.05,0.48,0.16,0.75,0.1,0.52,0.51,0.02,0.48,1080.0,216.0,508.71271907693347,289.0,0.009721801729067852,26.75925925925926,452.0,1532.0,0.2950391644908616,300.0,171.0,59.0,34.0,21.0,1.8399833229101519,585.0,0.655,0.828,305714.0,24665.0
6,Leuven Vaart,24062A07-,A07,LEUVEN NOORD,105.0,550.0,54.0,709.0,105.0,533.0,67.0,705.0,210.0,1083.0,121.0,627.0,592.0,34.0,786.0,0.07,0.39,0.04,0.5,0.07,0.38,0.05,0.5,0.14,0.77,0.09,0.44,0.42,0.02,0.56,1413.0,87.0,866.0437985669593,492.0,0.016550610556060146,34.81953290870488,615.0,2028.0,0.3032544378698225,566.0,200.0,56.0,42.0,21.0,1.6254237288135593,885.0,0.655,0.828,324188.0,26712.0
7,Leuven Diestse straat,24062A10-,A10,LEUVEN CENTRUM,11.0,160.0,16.0,187.0,13.0,111.0,36.0,160.0,24.0,271.0,52.0,196.0,186.0,10.0,150.0,0.03,0.46,0.05,0.54,0.04,0.32,0.1,0.46,0.07,0.78,0.15,0.57,0.54,0.03,0.43,346.0,65.0,1019.1856897769705,579.0,0.01947724291048542,167.34104046242774,459.0,805.0,0.5701863354037268,160.0,47.0,16.0,5.0,0.0,1.412280701754386,228.0,0.579,0.714,333340.0,21034.0
8,Vital Decoster,24062A11-,A11,LEUVEN NOORD,33.0,274.0,50.0,357.0,24.0,265.0,82.0,371.0,57.0,539.0,132.0,333.0,321.0,12.0,395.0,0.05,0.38,0.07,0.5,0.03,0.36,0.11,0.5,0.08,0.74,0.18,0.46,0.44,0.02,0.54,728.0,136.0,647.772597302116,368.0,0.012379318464695395,50.54945054945055,1033.0,1761.0,0.5865985235661556,341.0,102.0,28.0,13.0,8.0,1.4784552845528456,492.0,0.655,0.828,327523.0,24620.0
9,Sint-Maartensdal,24062A12-,A12,LEUVEN NOORD,174.0,416.0,82.0,672.0,151.0,418.0,200.0,769.0,325.0,834.0,282.0,486.0,416.0,70.0,955.0,0.12,0.29,0.06,0.47,0.1,0.29,0.14,0.53,0.22,0.58,0.2,0.34,0.29,0.05,0.66,1441.0,83.0,177.78541393346117,101.0,0.0033975846873212905,7.009021512838307,115.0,1556.0,0.07390745501285347,443.0,131.0,105.0,63.0,32.0,1.863910422049957,774.0,0.655,0.828,329223.0,15441.0
